strain,Age_con,Group,sero_prop,immunity_switch,Type
HKU1_S1,0,1,0.25,0.875,P
HKU1_S1,0,2,0.75,0.875,M
HKU1_S1,0.125,1,0.72,0.875,P
HKU1_S1,0.125,2,0.28,0.875,M
HKU1_S1,0.25,1,0.6744186046511628,0.875,P
HKU1_S1,0.25,2,0.32558139534883723,0.875,M
HKU1_S1,0.375,1,0.8888888888888888,0.875,P
HKU1_S1,0.375,2,0.1111111111111111,0.875,M
HKU1_S1,0.5,1,0.84,0.875,P
HKU1_S1,0.5,2,0.16,0.875,M
HKU1_S1,0.625,1,0.9111111111111111,0.875,P
HKU1_S1,0.625,2,0.08888888888888889,0.875,M
HKU1_S1,0.75,1,0.8695652173913043,0.875,P
HKU1_S1,0.75,2,0.13043478260869565,0.875,M
HKU1_S1,0.875,1,0.9166666666666666,0.875,P
HKU1_S1,0.875,2,0.08333333333333333,0.875,M
HKU1_S1,1,1,0.8562874251497006,0.875,P
HKU1_S1,1,2,0.1437125748502994,0.875,P
HKU1_S1,2,1,0.6982758620689655,0.875,P
HKU1_S1,2,2,0.3017241379310345,0.875,P
HKU1_S1,3,1,0.5235294117647059,0.875,P
HKU1_S1,3,2,0.4764705882352941,0.875,P
HKU1_S1,4,1,0.4508670520231214,0.875,P
HKU1_S1,4,2,0.5491329479768786,0.875,P
HKU1_S1,5,1,0.32245681381957775,0.875,P
HKU1_S1,5,2,0.6775431861804223,0.875,P
HKU1_S1,10,1,0.3924050632911392,0.875,P
HKU1_S1,10,2,0.6075949367088608,0.875,P
HKU1_S1,15,1,0.26865671641791045,0.875,P
HKU1_S1,15,2,0.7313432835820896,0.875,P
HKU1_S1,20,1,0.10638297872340426,0.875,P
HKU1_S1,20,2,0.8936170212765957,0.875,P
HKU1_S1,25,1,0.08571428571428572,0.875,P
HKU1_S1,25,2,0.9142857142857143,0.875,P
HKU1_S1,30,1,0.0784313725490196,0.875,P
HKU1_S1,30,2,0.9215686274509803,0.875,P
HKU1_S1,35,1,0.09836065573770492,0.875,P
HKU1_S1,35,2,0.9016393442622951,0.875,P
HKU1_S1,40,1,0.03125,0.875,P
HKU1_S1,40,2,0.96875,0.875,P
HKU1_S1,45,1,0.0196078431372549,0.875,P
HKU1_S1,45,2,0.9803921568627451,0.875,P
HKU1_S1,50,1,0.057692307692307696,0.875,P
HKU1_S1,50,2,0.9423076923076923,0.875,P
HKU1_S1,55,2,1,0.875,P
HKU1_S1,60,2,1,0.875,P
HKU1_S1,65,2,1,0.875,P
NL63_S1,0,1,0.22058823529411764,0.25,P
NL63_S1,0,2,0.7794117647058824,0.25,M
NL63_S1,0.125,1,0.68,0.25,P
NL63_S1,0.125,2,0.32,0.25,M
NL63_S1,0.25,1,0.8837209302325582,0.25,P
NL63_S1,0.25,2,0.11627906976744186,0.25,M
NL63_S1,0.375,1,0.8333333333333334,0.25,P
