strain,Age_con,Group,sero_prop,immunity_switch,Type
HKU1_S1,0,1,0.25,0.875,P
HKU1_S1,0,2,0.08088235294117647,0.875,M
HKU1_S1,0,3,0.18382352941176472,0.875,M
HKU1_S1,0,4,0.21323529411764705,0.875,M
HKU1_S1,0,5,0.23529411764705882,0.875,M
HKU1_S1,0,6,0.03676470588235294,0.875,M
HKU1_S1,0.125,1,0.72,0.875,P
HKU1_S1,0.125,2,0.12,0.875,M
HKU1_S1,0.125,4,0.12,0.875,M
HKU1_S1,0.125,5,0.04,0.875,M
HKU1_S1,0.25,1,0.6744186046511628,0.875,P
HKU1_S1,0.25,2,0.09302325581395349,0.875,M
HKU1_S1,0.25,3,0.11627906976744186,0.875,M
HKU1_S1,0.25,4,0.06976744186046512,0.875,M
HKU1_S1,0.25,5,0.046511627906976744,0.875,M
HKU1_S1,0.375,1,0.8888888888888888,0.875,P
HKU1_S1,0.375,3,0.05555555555555555,0.875,M
HKU1_S1,0.375,5,0.05555555555555555,0.875,M
HKU1_S1,0.5,1,0.84,0.875,P
HKU1_S1,0.5,2,0.06,0.875,M
HKU1_S1,0.5,3,0.02,0.875,M
HKU1_S1,0.5,4,0.04,0.875,M
HKU1_S1,0.5,5,0.03,0.875,M
HKU1_S1,0.5,6,0.01,0.875,M
HKU1_S1,0.625,1,0.9111111111111111,0.875,P
HKU1_S1,0.625,3,0.044444444444444446,0.875,M
HKU1_S1,0.625,4,0.022222222222222223,0.875,M
HKU1_S1,0.625,5,0.022222222222222223,0.875,M
HKU1_S1,0.75,1,0.8695652173913043,0.875,P
HKU1_S1,0.75,3,0.021739130434782608,0.875,M
HKU1_S1,0.75,4,0.021739130434782608,0.875,M
HKU1_S1,0.75,5,0.08695652173913043,0.875,M
HKU1_S1,0.875,1,0.9166666666666666,0.875,P
HKU1_S1,0.875,3,0.041666666666666664,0.875,M
HKU1_S1,0.875,5,0.041666666666666664,0.875,M
HKU1_S1,1,1,0.8562874251497006,0.875,P
HKU1_S1,1,2,0.011976047904191617,0.875,P
HKU1_S1,1,3,0.04790419161676647,0.875,P
HKU1_S1,1,4,0.023952095808383235,0.875,P
HKU1_S1,1,5,0.059880239520958084,0.875,P
HKU1_S1,2,1,0.6982758620689655,0.875,P
HKU1_S1,2,2,0.04310344827586207,0.875,P
HKU1_S1,2,3,0.0603448275862069,0.875,P
HKU1_S1,2,4,0.05172413793103448,0.875,P
HKU1_S1,2,5,0.13793103448275862,0.875,P
HKU1_S1,2,6,0.008620689655172414,0.875,P
HKU1_S1,3,1,0.5235294117647059,0.875,P
HKU1_S1,3,2,0.058823529411764705,0.875,P
HKU1_S1,3,3,0.047058823529411764,0.875,P
HKU1_S1,3,4,0.07647058823529412,0.875,P
HKU1_S1,3,5,0.2647058823529412,0.875,P
HKU1_S1,3,6,0.029411764705882353,0.875,P
HKU1_S1,4,1,0.4508670520231214,0.875,P
HKU1_S1,4,2,0.023121387283236993,0.875,P
HKU1_S1,4,3,0.09248554913294797,0.875,P
HKU1_S1,4,4,0.10982658959537572,0.875,P
HKU1_S1,4,5,0.2658959537572254,0.875,P
HKU1_S1,4,6,0.057803468208092484,0.875,P
HKU1_S1,5,1,0.32245681381957775,0.875,P
HKU1_S1,5,2,0.07293666026871401,0.875,P
HKU1_S1,5,3,0.11900191938579655,0.875,P
HKU1_S1,5,4,0.1343570057581574,0.875,P
HKU1_S1,5,5,0.30326295585412666,0.875,P
HKU1_S1,5,6,0.04798464491362764,0.875,P
HKU1_S1,10,1,0.3924050632911392,0.875,P
HKU1_S1,10,2,0.06751054852320675,0.875,P
HKU1_S1,10,3,0.09282700421940929,0.875,P
HKU1_S1,10,4,0.18143459915611815,0.875,P
HKU1_S1,10,5,0.24050632911392406,0.875,P
HKU1_S1,10,6,0.02531645569620253,0.875,P
HKU1_S1,15,1,0.26865671641791045,0.875,P
HKU1_S1,15,2,0.05970149253731343,0.875,P
HKU1_S1,15,3,0.14925373134328357,0.875,P
HKU1_S1,15,4,0.208955223880597,0.875,P
HKU1_S1,15,5,0.31343283582089554,0.875,P
HKU1_S1,20,1,0.10638297872340426,0.875,P
HKU1_S1,20,2,0.0851063829787234,0.875,P
HKU1_S1,20,3,0.1276595744680851,0.875,P
HKU1_S1,20,4,0.2553191489361702,0.875,P
HKU1_S1,20,5,0.425531914893617,0.875,P
HKU1_S1,25,1,0.08571428571428572,0.875,P
HKU1_S1,25,2,0.04285714285714286,0.875,P
HKU1_S1,25,3,0.1,0.875,P
HKU1_S1,25,4,0.18571428571428572,0.875,P
HKU1_S1,25,5,0.5714285714285714,0.875,P
HKU1_S1,25,6,0.014285714285714285,0.875,P
HKU1_S1,30,1,0.0784313725490196,0.875,P
HKU1_S1,30,2,0.0784313725490196,0.875,P
HKU1_S1,30,3,0.0392156862745098,0.875,P
HKU1_S1,30,4,0.17647058823529413,0.875,P
HKU1_S1,30,5,0.6274509803921569,0.875,P
HKU1_S1,35,1,0.09836065573770492,0.875,P
HKU1_S1,35,2,0.01639344262295082,0.875,P
HKU1_S1,35,3,0.01639344262295082,0.875,P
HKU1_S1,35,4,0.22950819672131148,0.875,P
HKU1_S1,35,5,0.6229508196721312,0.875,P
HKU1_S1,35,6,0.01639344262295082,0.875,P
HKU1_S1,40,1,0.03125,0.875,P
HKU1_S1,40,2,0.015625,0.875,P
HKU1_S1,40,3,0.125,0.875,P
HKU1_S1,40,4,0.171875,0.875,P
HKU1_S1,40,5,0.59375,0.875,P
HKU1_S1,40,6,0.0625,0.875,P
HKU1_S1,45,1,0.0196078431372549,0.875,P
HKU1_S1,45,2,0.0392156862745098,0.875,P
HKU1_S1,45,3,0.058823529411764705,0.875,P
HKU1_S1,45,4,0.27450980392156865,0.875,P
HKU1_S1,45,5,0.5882352941176471,0.875,P
HKU1_S1,45,6,0.0196078431372549,0.875,P
HKU1_S1,50,1,0.057692307692307696,0.875,P
HKU1_S1,50,2,0.019230769230769232,0.875,P
HKU1_S1,50,3,0.1346153846153846,0.875,P
HKU1_S1,50,4,0.23076923076923078,0.875,P
HKU1_S1,50,5,0.5576923076923077,0.875,P
HKU1_S1,55,2,0.027777777777777776,0.875,P
HKU1_S1,55,3,0.16666666666666666,0.875,P
HKU1_S1,55,4,0.16666666666666666,0.875,P
HKU1_S1,55,5,0.5277777777777778,0.875,P
HKU1_S1,55,6,0.1111111111111111,0.875,P
HKU1_S1,60,3,0.05,0.875,P
HKU1_S1,60,4,0.15,0.875,P
HKU1_S1,60,5,0.75,0.875,P
HKU1_S1,60,6,0.05,0.875,P
HKU1_S1,65,2,0.14285714285714285,0.875,P
HKU1_S1,65,4,0.14285714285714285,0.875,P
HKU1_S1,65,5,0.7142857142857143,0.875,P
NL63_S1,0,1,0.22058823529411764,0.25,P
NL63_S1,0,2,0.11764705882352941,0.25,M
NL63_S1,0,3,0.20588235294117646,0.25,M
NL63_S1,0,4,0.35294117647058826,0.25,M
NL63_S1,0,5,0.10294117647058823,0.25,M
NL63_S1,0.125,1,0.68,0.25,P
NL63_S1,0.125,2,0.16,0.25,M
NL63_S1,0.125,3,0.12,0.25,M
NL63_S1,0.125,4,0.04,0.25,M
NL63_S1,0.25,1,0.8837209302325582,0.25,P
NL63_S1,0.25,2,0.023255813953488372,0.25,M
NL63_S1,0.25,3,0.09302325581395349,0.25,M
NL63_S1,0.375,1,0.8333333333333334,0.25,P
NL63_S1,0.375,3,0.05555555555555555,0.25,P
NL63_S1,0.375,4,0.1111111111111111,0.25,P
NL63_S1,0.5,1,0.84,0.25,P
NL63_S1,0.5,2,0.01,0.25,P
NL63_S1,0.5,3,0.06,0.25,P
NL63_S1,0.5,4,0.07,0.25,P
NL63_S1,0.5,5,0.02,0.25,P
NL63_S1,0.625,1,0.7333333333333333,0.25,P
NL63_S1,0.625,2,0.044444444444444446,0.25,P
NL63_S1,0.625,4,0.15555555555555556,0.25,P
NL63_S1,0.625,5,0.06666666666666667,0.25,P
NL63_S1,0.75,1,0.782608695652174,0.25,P
NL63_S1,0.75,2,0.043478260869565216,0.25,P
NL63_S1,0.75,3,0.08695652173913043,0.25,P
