time,Prop,Type,Group,strain_type,exposure,choose_rho,waning
0,0.75,M,2,HKU1_S1,Binary,rho_05,Direct
0,0.25,P,1,HKU1_S1,Binary,rho_05,Direct
0.125,0.2878365242893279,M,2,HKU1_S1,Binary,rho_05,Direct
0.125,0.42123682264642515,P,1,HKU1_S1,Binary,rho_05,Direct
0.25,0.11046630378945477,M,2,HKU1_S1,Binary,rho_05,Direct
0.25,0.4053678356896152,P,1,HKU1_S1,Binary,rho_05,Direct
0.375,0.042395005550073916,M,2,HKU1_S1,Binary,rho_05,Direct
0.375,0.3824604330719941,P,1,HKU1_S1,Binary,rho_05,Direct
0.5,0.01627046887350512,M,2,HKU1_S1,Binary,rho_05,Direct
0.5,0.370202818718248,P,1,HKU1_S1,Binary,rho_05,Direct
0.625,0.006244176392787619,M,2,HKU1_S1,Binary,rho_05,Direct
0.625,0.3647840864124874,P,1,HKU1_S1,Binary,rho_05,Direct
0.75,0.002396094142955183,M,2,HKU1_S1,Binary,rho_05,Direct
0.75,0.3625570379631395,P,1,HKU1_S1,Binary,rho_05,Direct
0.875,9.195348345145383e-4,M,2,HKU1_S1,Binary,rho_05,Direct
0.875,0.3616720588811424,P,1,HKU1_S1,Binary,rho_05,Direct
1,0.3613262048547646,P,1,HKU1_S1,Binary,rho_05,Direct
1,0.63832095754942475,P,2,HKU1_S1,Binary,rho_05,Direct
2,0.3611084071428683,P,1,HKU1_S1,Binary,rho_05,Direct
2,0.6388914052998099,P,2,HKU1_S1,Binary,rho_05,Direct
3,0.3611082907305131,P,1,HKU1_S1,Binary,rho_05,Direct
3,0.6388917093589528,P,2,HKU1_S1,Binary,rho_05,Direct
4,0.3611082907859824,P,1,HKU1_S1,Binary,rho_05,Direct
4,0.6388917092144323,P,2,HKU1_S1,Binary,rho_05,Direct
5,0.36110829078623957,P,1,HKU1_S1,Binary,rho_05,Direct
5,0.6388917092137624,P,2,HKU1_S1,Binary,rho_05,Direct
10,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
10,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
15,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
15,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
20,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
20,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
25,0.36110829078624074,P,1,HKU1_S1,Binary,rho_05,Direct
25,0.6388917092137593,P,2,HKU1_S1,Binary,rho_05,Direct
