param,loglik,ll_05,ll_95,conf_05,conf_95,strain,model
b2,122.4431061677434,-1000,120.52258795501292,1,1.7190999999999996,a_229E_S1,Variation
l43,122.4431061677434,-104.03312889076868,120.51199192837858,0.17266756958186294,0.20274926837290264,a_229E_S1,Variation
l32,122.4431061677434,-104.04182269184363,120.52192619782733,0.04826667620725099,0.08749844906039192,a_229E_S1,Variation
l10,122.4431061677434,-1000,120.51536714280948,0.0125,0.0322625,a_229E_S1,Variation
l21,122.4431061677434,-1000,120.51345896116815,0.0125,0.0297625,a_229E_S1,Variation
b0,122.4431061677434,-1000,120.49690816619788,1,1.0660999999999994,a_229E_S1,Variation
b1,122.4431061677434,-1000,120.5225797346595,1,1.1211,a_229E_S1,Variation
rho_m,122.4431061677434,-104.03111969435612,120.52257962956232,5.129726288988169,7.021690858538481,a_229E_S1,Variation
sigma,122.4431061677434,120.42873297696002,120.42774643969663,0.07279130622414948,0.09342506231918396,a_229E_S1,Variation
b2,163.5122393486941,-1000,161.59171151883424,1,2.396099999999998,OC43_HE,Variation
l43,163.5122393486941,-105.86181065585224,161.5680618015387,0.14511530486913118,0.1647368562425751,OC43_HE,Variation
l32,163.5122393486941,-105.86219486930398,161.58261400148743,0.15391382099273992,0.19227298110014143,OC43_HE,Variation
l10,163.5122393486941,-1000,161.58981953736196,0.0125,0.0533875,OC43_HE,Variation
l21,163.5122393486941,-105.86483443232756,161.56724526846676,0.03300368472186666,0.08064263704311964,OC43_HE,Variation
b0,163.5122393486941,-1000,161.5850871338054,1,1.1350999999999996,OC43_HE,Variation
b1,163.5122393486941,-1000,161.58583985978774,1,1.3040999999999998,OC43_HE,Variation
rho_m,163.5122393486941,-105.8614535698622,161.59222757305946,6.524001486657437,8.614377706759544,OC43_HE,Variation
sigma,163.5122393486941,161.46202671793932,161.46136786082883,0.05189968198180145,0.06661140285853258,OC43_HE,Variation
b2,123.96682864400756,-105.13819623480607,122.04638788605266,9.999481714939195,13.30454346197837,NL63_S1,Variation
l43,123.96682864400756,-1000,122.04584997067084,0.0125,0.0528875,NL63_S1,Variation
l32,123.96682864400756,-105.03497083459315,122.03998761519014,0.27953958218851865,0.3321541930174806,NL63_S1,Variation
l10,123.96682864400756,-1000,122.0443720144861,0.0125,0.0547625,NL63_S1,Variation
l21,123.96682864400756,-1000,122.03884253493112,0.0125,0.04526250000000001,NL63_S1,Variation
b0,123.96682864400756,-1000,122.02626656033097,1,1.0580999999999992,NL63_S1,Variation
b1,123.96682864400756,-1000,122.0414760580231,1,1.089099999999999,NL63_S1,Variation
rho_m,123.96682864400756,-105.0026795263782,122.04641880746986,7.645825447402035,12.206758852620354,NL63_S1,Variation
sigma,123.96682864400756,121.93456837369776,121.93368551391204,0.07251066624965977,0.09306487085586251,NL63_S1,Variation
b2,128.13376357404098,-1000,126.19614407144556,1,1.0801,HKU1_S1,Variation
l54,128.13376357404098,-1000,126.21114951698036,0.0125,0.0307625,HKU1_S1,Variation
l43,128.13376357404098,-116.06964213209254,126.21023502120786,0.2724018672724134,0.312775861401598,HKU1_S1,Variation
l32,128.13376357404098,-1000,126.19830840973124,0.0125,0.0237625,HKU1_S1,Variation
l10,128.13376357404098,-1000,126.20770598690716,0.0125,0.0383875,HKU1_S1,Variation
l21,128.13376357404098,-1000,126.20863772989748,0.0125,0.0296375,HKU1_S1,Variation
b0,128.13376357404098,-1000,126.18613613706265,1,1.0430999999999997,HKU1_S1,Variation
b3,128.13376357404098,-1000,126.21260151846435,1,3.7540999999999993,HKU1_S1,Variation
b1,128.13376357404098,-1000,126.19403906369568,1,1.0501,HKU1_S1,Variation
rho_m,128.13376357404098,-115.99509664725072,126.21360950611674,5.285155259371304,8.061052263668342,HKU1_S1,Variation
sigma,128.13376357404098,125.88720864121724,126.14794600264824,0.07780589617476943,0.09898590390738383,HKU1_S1,Variation
lambda_0,1.783469519743795,-0.14724340366594799,-0.1413186178306406,0.5942346266965797,1.0638372536191854,a_229E_S1,Binary
sigma,1.783469519743795,-0.13707902935441596,-0.13710879420122668,0.19348726111219455,0.28865716108327305,a_229E_S1,Binary
rho_m,1.783469519743795,-0.1365904714504863,-0.13655025543149055,2.6999047709196566,10.31758556245121,a_229E_S1,Binary
lambda_0,12.829172330052833,10.89284386903865,10.902775300572143,0.8059,1.2811,OC43_HE,Binary
sigma,12.829172330052833,10.888954692700858,10.90120128257458,0.15574050812626444,0.23084940566233528,OC43_HE,Binary
rho_m,12.829172330052833,10.908146843886763,10.90917689567216,3.2148885217877186,11.169182988552611,OC43_HE,Binary
lambda_0,14.847083601816069,12.921702505394954,12.924450688833232,0.8349,1.2970999999999997,NL63_S1,Binary
sigma,14.847083601816069,12.924852524905493,12.920535956040748,0.14685299829430074,0.2204126934128148,NL63_S1,Binary
rho_m,14.847083601816069,12.926573379813606,12.927067527038478,3.5463204185738917,14.117003357403558,NL63_S1,Binary
lambda_0,7.391203667217935,5.460234470612404,5.46907992695736,0.6890002494148234,1.1844631192245192,HKU1_S1,Binary
sigma,7.391203667217935,5.4585987090159,5.470839231904533,0.1711764097602444,0.25660954481632975,HKU1_S1,Binary
rho_m,7.391203667217935,5.471178128738488,5.471245352478233,2.8277058779715865,12.244103251578808,HKU1_S1,Binary
